Company Name,Sector,Stage,Amount,Location,Founded,Investor,Funding Year,Startup_Age,label,above_threshold
Antariksh Waste Ventures Pvt ltd,internet of things,Seed,6000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Cogoport,air transportation,Series A,6000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PaisaDukan,financial services,Seed,650000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Sleepy Owl Coffee,food and beverage,Seed,420000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
BlueJack,autonomous vehicles,Seed,768000.0,Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PregBuddy,enterprise software,Seed,1000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
AgNext Technologies,agriculture,Series A,1000000.0,Mohali,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Pando,logistics,Seed,2000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Mintifi,financial services,Seed,2000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Carcrew,automotive,Seed,2000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
NicheAI,artificial intelligence,Angel,1000000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Chariot Tech,internet of things,Seed,240000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Ideal Insurance Brokers/ 121Policy.com,insurance,Seed,1000000.0,Kolkata,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Loanzen,financial services,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Mojro Technologies,information technology,Seed,650000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Elemential,blockchain,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Loadshare,industrial automation,Series A,5000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Yumlane,food and beverage,Series A,4000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Kriger Campus,education,Seed,360000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Pipa+Bella,e-commerce,Series A,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Kaleidofin,financial services,Seed,2800000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Chakr Innovation,renewable energy,Seed,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
IndigoLearn,e-learning,Seed,150000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
UClean,clean energy,Seed,480000.0,India,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Coutloot,e-commerce,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Letstrack,apps,Seed,1700000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Finzy,financial services,Seed,1300000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Fitternity,fitness,Seed,2000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Keito,artificial intelligence,Seed,1000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Tolet for Students,hospitality,Seed,60000.0,Jodhpur,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Dainik Jagran,media and entertainment,Seed,480000.0,Kanpur,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Playtoome,broadcasting,Seed,240000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Notesgen,edtech,Seed,150000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Arogya MedTech,health care,Seed,180000.0,Kolkata,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Propshop24,e-commerce,Seed,500000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
myUpchar,health care,Series A,5000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
MissMalini Entertainment,—,Seed,1248000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Rooter,sports,Seed,540000.0,India,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
alphaics Corporation,cloud computing,Seed,1000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
MyDentistChoice,health care,Seed,500000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Sattviko,food processing,Angel,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Sensibull,trading platform,Seed,300000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Bombay Shaving Company,consumer goods,Series A,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
MedCords,wellness,Seed,316800.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
University Living,education,Seed,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
&ME,food and beverage,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Enakshi,fashion,Seed,96000.0,Ahmedabad,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Inthree Access,consulting,Series A,4000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
BUGWORKS Research India,biotechnology,Series A,9000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Guardian.in,health care,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PrestLoans,credit,Seed,100000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Wimoxez,internet,Seed,20000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
India Accelerator,communities,Angel,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
HappyEMI,consumer,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Wishup,consumer applications,Seed,1000000.0,Azadpur,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Hansel.io,mobile,Series A,4000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Propelld,education,Seed,250000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
PivotRoots,advertising,Series A,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
ZiffyHomes,marketplace,Seed,120000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Carmesi,health care,Seed,408000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
OckyPocky,e-learning,Angel,1000000.0,Haryana,2019.0,Inflection Point Ventures,2018,1.0,technology,False
WHR,health care,Seed,143145.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Asteria Aerospace,aerospace,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
FabAlley,e-commerce,Series B,7200000.0,Noida,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Tranzmeo,artificial intelligence,Pre-Seed,1000000.0,Cochin,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Studds Accessories,e-commerce,Private Equity,12000000.0,Faridabad,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Design Cafe,home decor,Series B,24000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
NoPaperForms Solutions Pvt. Ltd.,edtech,Series B,3980000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Rays Power Infra,energy,Venture - Series Unknown,24000000.0,Jaipur,2019.0,Inflection Point Ventures,2018,1.0,technology,True
AuthMetrik,b2b,Grant,10000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Khidki,artificial intelligence,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
LetsTransport,logistics,Series B,12000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
Next Digital Solutions,digital marketing,Angel,1200.0,Kota,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Portea Medical,health care,Debt Financing,3000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Aavas Financiers,finance,Post-IPO Debt,24000000.0,Jaipur,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Milkbasket,e-commerce,Series A,7000000.0,Haryana,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Nutrisattva (Proliva),fitness,Angel,1000000.0,Anand,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Toppr,edtech,Series C,35000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Jagaran Microfin,—,Debt Financing,6600000.0,Kolkata,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Vivriti Capital,financial services,Venture - Series Unknown,28500000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
Be U Salons,apps,Seed,360000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Impact Guru,creative agency,Series A,2000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
MobiKwik,consumer lending,Series E,2880000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Stones2Milestones,e-learning,Seed,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Generico,health care,Series A,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Adiuvo Diagnostics,health diagnostics,Seed,1000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
DataTrained,edtech,Seed,1440000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
OneAssist,financial services,Debt Financing,2400000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Satin Creditcare Network Limited (SCNL),banking,Post-IPO Debt,30000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
APAC Financial Services,finance,Private Equity,30000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Moglix,b2b,Series C,23000000.0,Noida,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
SEDEMAC Mechatronics,automotive,Venture - Series Unknown,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
MadGuy Labs,e-learning,Venture - Series Unknown,150000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Dee Dee Labs,embedded systems,Seed,1000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
FLEECA,—,Seed,1000000.0,Jaipur,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Shop101,apps,Series B,11000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,True
FeedMyPockets,advertising,Seed,528000.0,Bangalore City,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Housejoy,beauty,Series B,3240000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Ambee,health care,Angel,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
FoodBuddy,food delivery,Seed,720000.0,Belgaum,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Ninjacart,agtech,Series B,30000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Olly Smart Credit Card,credit cards,Seed,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Zestl,software,Seed,1000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Wakefit,manufacturing,Venture - Series Unknown,7800000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Hero Electric,manufacturing,Venture - Series Unknown,19200000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Pentation Analytics,information services,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PerkFinance,consumer lending,Seed,900000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Roposo,internet,Series C,10000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Plum Goodness,beauty,Series A,1000000.0,Thane,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Drstore,hospital,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Wow Venue,events,Venture - Series Unknown,1500000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Chizel,3d printing,Seed,1000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
OTO Capital,automotive,Seed,600000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Boodmo,automotive,Seed,840000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Khabri,apps,Seed,1000000.0,Haryana,2019.0,Inflection Point Ventures,2018,1.0,technology,False
MyNewCar.in,automotive,Venture - Series Unknown,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
HalaPlay Technologies,digital entertainment,Series A,5000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PlanetSpark,e-learning,Seed,192000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
WheelsEMI,—,Series B,14000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
Forum for Innovation Incubation Research and Entrepreneurship,funding platform,Grant,1230000.0,Margão,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
OYO,hospitality,Series E,100000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Quikr,classifieds,Debt Financing,6600000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Tabono,sports,Seed,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
LearnApp,banking,Seed,240000.0,Noida,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Shopkirana,e-commerce,Venture - Series Unknown,2000000.0,Indore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Fric Bergen,—,Venture - Series Unknown,1000000.0,Alwar,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Articbot,artificial intelligence,Grant,14400.0,Kannur,2019.0,Inflection Point Ventures,2018,1.0,technology,False
BuildSupply,enterprise resource planning (erp),Series A,3000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Fusion Microfinance,banking,Series E,62400000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,True
Any time Doctor,software,Angel,1000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Go Payments,information services,Corporate Round,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Guiddoo World,audio,Seed,800000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
ION Energy,energy,Venture - Series Unknown,1041000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
UnoTag,artificial intelligence,Pre-Seed,100000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
CivilCops,government,Pre-Seed,100000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Rockmetric,information technology,Grant,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Classworks India,education,,1200.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Snapmint,consumer lending,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Survaider,business intelligence,Seed,500000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Credy,credit,Seed,1400000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
iChamp,e-learning,Seed,5000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Qandle,software,Seed,1200000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Avishkaar Box,children,Seed,600000.0,Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Gegadyne Energy,automotive,Angel,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
HyperXchange,e-commerce,Series A,1000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Deftouch,—,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Doodhwala,food delivery,Seed,2200000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
DronaHQ,mobile,Angel,500000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
FastFox,rental,Series A,1200000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
BuyForexOnline,travel,,2000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Colive.in,consumer,Seed,1800000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Agricxlab Private Limited,b2b,Seed,500000.0,Thane,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Corefactors,—,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Fincash.com,wealth management,Seed,150000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Pandorum Technologies,biotechnology,Series A,3600000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Shirsa Labs,education,Seed,500000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
PetSutra,veterinary,Seed,114000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
PinkBlue,health care,Seed,300000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Eduvanz,finance,Angel,500000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Rupeek,financial services,Series A,6830000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Backpacker Panda Holidays Private Limited,tourism,Series A,1400000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Shape (School Health and Physical Education),education,Seed,200000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Placio,hospitality,Seed,2000000.0,Noida,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Aviom India Housing Finance,finance,Series A,1800000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
GenRobotic,market research,Seed,1000000.0,Trivandrum,2019.0,Inflection Point Ventures,2018,1.0,technology,False
HeyHolidays,tourism,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Pratilipi,digital media,Series A,4300000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
SectorQube,consumer electronics,Seed,1000000.0,Ernakulam,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Food Memories,food and beverage,Seed,1000000.0,Ahmedabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
ZAMROO,internet,Seed,1000000.0,India,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Silversparro Technologies Pvt. Ltd,analytics,Seed,300000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Creator’s Gurukul,facilities support services,Angel,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Emflux Motors,automotive,Seed,364846.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Tricog Health Services Pvt Ltd,health care,Series A,4000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Scapic,cloud computing,Seed,500000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
6Degree,fashion,Seed,400000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Chrysalis (EZ Vidya),education,Seed,1000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Ekincare,medical,Series A,1500000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Streo,music streaming,Seed,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Groww,finance,Seed,120000.0,Kormangala,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Cell Propulsion,—,Seed,84000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Chezuba,internet,Angel,16800.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Ontrack Technologies Pvt. Ltd,retail,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Wealthtrust,finance,Seed,500000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Faclon Labs,cloud computing,Seed,1000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Awign Enterprises,business development,Seed,600000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
CollPoll,education,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Zyla Health,health care,Seed,1000000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Hubhopper,internet,Series A,500000.0,Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Rubix108 Technologies,information technology,Seed,1000000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Workflexi,human resources,Seed,120000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Streak,financial services,Seed,270000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Kuants,financial services,Seed,60000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
NiYO Solutions,finance,Series A,13200000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,True
Hippo Video,customer service,Seed,1000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Satvacart,e-commerce,Seed,1000000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Daaki,health care,Angel,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Simulanis,training,Seed,500000.0,New Delhi,2019.0,Inflection Point Ventures,2018,1.0,technology,False
MY CHIRAAG CAB,travel,Seed,1000000.0,Jaipur,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
WOTU,food and beverage,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Flathalt,—,Angel,50000.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
True Elements,dietary supplements,Seed,600000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Trendlyne Technologies,financial services,Seed,200000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Planys Technologies,manufacturing,Series A,1682400.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
HealthPlix,fitness,Series A,3000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,technology,False
dishq,—,Seed,400000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Entropik Technology,artificial intelligence,Seed,1100000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
myHQ,collaboration,Series A,500000.0,Delhi,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Trell,—,Seed,1250000.0,Bangalore City,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Kidovators (by GyanLab),big data,Seed,180000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Log 9 Materials,nanotechnology,Seed,360000.0,Uttar Pradesh,2019.0,Inflection Point Ventures,2018,1.0,technology,False
VTION,analytics,Seed,230400.0,Gurgaon,2019.0,Inflection Point Ventures,2018,1.0,technology,False
HousingMan.com,—,Seed,1236000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Steradian Semiconductors,—,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
RupeeCircle,financial services,Seed,480000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Wooden Street,e-commerce,Series A,1000000.0,Jaipur,2019.0,Inflection Point Ventures,2018,1.0,technology,False
The Ken,digital media,Series A,1500000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
SaffronStays,—,Seed,2000000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Vebbler,file sharing,Seed,1000000.0,Bengaluru,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Foyr,home decor,Series A,4200000.0,Pune,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
MEngage,health care,Seed,175000.0,Jaipur,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Inner Being Wellness,—,Angel,420000.0,Hyderabad,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
Kobster,e-commerce,Seed,1000000.0,Chennai,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Wishberry,crowdfunding,Series A,1200000.0,Mumbai,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
McXtra,finance,Seed,1300000.0,Andheri,2019.0,Inflection Point Ventures,2018,1.0,technology,False
Magic Crate,children,Seed,1000000.0,Bangalore,2019.0,Inflection Point Ventures,2018,1.0,non-technology,False
SmartVizX,software,Seed,1450000.0,Noida,2019.0,Inflection Point Ventures,2018,1.0,technology,False
